Time,Channel A,Channel B
(us),(mV),(V)

-33.96597640,-28.07703000,-2.08716100
-33.91597640,-26.03229000,-1.99270600
-33.86597640,-24.21644000,-1.88070300
-33.81597640,-23.10251000,-1.77953400
-33.76597641,-21.21036000,-1.66264800
-33.71597641,-18.99777000,-1.55980100
-33.66597641,-17.31925000,-1.43833700
-33.61597642,-16.60207000,-1.32908100
-33.56597642,-15.15244000,-1.20227700
-33.51597642,-13.41288000,-1.08996900
-33.46597643,-11.52074000,-0.95873900
-33.41597643,-9.93377500,-0.84154790
-33.36597643,-8.13318300,-0.70772420
-33.31597643,-6.59199800,-0.59099100
-33.26597644,-4.88296100,-0.45594650
-33.21597644,-3.41807300,-0.33722950
-33.16597644,-2.07525800,-0.20096440
-33.11597645,-1.20548100,-0.08194220
-33.06597645,0.09155552,0.05539110
-33.01597645,1.43437000,0.17563400
-32.96597646,2.97555400,0.31403550
-32.91597646,4.34888700,0.43549910
-32.86597646,5.67644300,0.57176430
-32.81597646,6.54622000,0.68819240
-32.76597647,7.98059000,0.82232120
-32.71597647,9.53703400,0.94012270
-32.66597647,11.27659000,1.07196300
-32.61597648,11.81066000,1.18457600
-32.56597648,22.65999000,1.30878600
-32.51597648,41.24576000,1.41270200
-32.46597648,60.41138000,1.52958800
-32.41597649,77.53227000,1.62862000
-32.36597649,84.09374000,1.74550600
-32.31597649,77.63908000,1.85049000
-32.26597650,79.51598000,1.96462900
-32.21597650,88.54945000,2.05938900
-32.16597650,91.87596000,2.16635600
-32.11597651,88.88515000,2.25852200
-32.06597651,91.00620000,2.35923300
-32.01597651,97.47611000,2.44331200
-31.96597651,100.51270000,2.53624100
-31.91597652,99.45982000,2.61406300
-31.86597652,101.96230000,2.69966700
-31.81597652,107.24200000,2.77123300
-31.76597653,110.30920000,2.84875000
-31.71597653,110.47700000,2.91268700
-31.66597653,113.05580000,2.98013200
-31.61597654,117.29790000,3.03384500
-31.56597654,120.31920000,3.09183000
-31.51597654,121.43310000,3.13943900
-31.46597654,124.22560000,3.18811600
-31.41597655,127.93360000,3.22565400
-31.36597655,131.09220000,3.26532800
-31.31597655,132.98440000,3.29722000
-31.26597656,135.80740000,3.32651800
-31.21597656,138.76770000,3.34620200
-31.16597656,141.74320000,3.36390300
-31.11597657,143.98630000,3.37504200
-31.06597657,146.91610000,3.38236600
-31.01597657,149.78480000,3.38374000
-30.96597657,152.72990000,3.38160300
-30.91597658,155.03400000,3.37672000
-30.86597658,157.75020000,3.36436100
-30.81597658,160.14590000,3.34788100
-30.76597659,162.83150000,3.32422900
-30.71597659,165.12040000,3.29905100
-30.66597659,167.82130000,3.26609100
-30.61597659,170.27800000,3.23404600
-30.56597660,172.76530000,3.19086300
-30.51597660,174.67270000,3.14767900
-30.46597660,176.91580000,3.09381400
-30.41597661,178.88420000,3.04284800
-30.36597661,181.09680000,2.98028500
-30.31597661,183.00420000,2.92214700
-30.26597662,184.95740000,2.85012400
-30.21597662,186.43760000,2.78267800
-30.16597662,188.26870000,2.70226100
-30.11597662,189.99300000,2.62901700
-30.06597663,191.57990000,2.54020800
-30.01597663,192.61760000,2.45841900
-29.96597663,193.92990000,2.36106400
-29.91597664,195.19640000,2.27271300
-29.86597664,196.31030000,2.16864500
-29.81597664,196.99700000,2.07556400
-29.76597665,197.82100000,1.96523900
-29.71597665,198.62970000,1.86590200
-29.66597665,198.56870000,1.74855800
-29.61597665,197.51580000,1.64281100
-29.56597666,197.80570000,1.52150000
-29.51597666,199.30110000,1.41544800
-29.46597666,200.23190000,1.29108600
-29.41597667,200.47610000,1.18030300
-29.36597667,200.99490000,1.05014200
-29.31597667,201.68160000,0.93356120
-29.26597667,201.84940000,0.79989020
-29.21597668,201.60530000,0.68285170
-29.16597668,199.92670000,0.54704430
-29.11597668,196.98170000,0.42680140
-29.06597669,195.76100000,0.29038360
-29.01597669,196.52390000,0.17242960
-28.96597669,196.37130000,0.03570666
-28.91597670,195.62360000,-0.08484146
-28.86597670,193.99090000,-0.22278510
-28.81597670,191.77830000,-0.34302800
-28.76597670,189.58100000,-0.47929320
-28.71597671,187.88720000,-0.59663680
-28.66597671,185.88820000,-0.73168130
-28.61597671,184.13340000,-0.84994050
-28.56597672,182.28700000,-0.98254340
-28.51597672,180.91370000,-1.09561400
-28.46597672,178.36540000,-1.22486000
-28.41597673,175.28310000,-1.33747400
-28.36597673,172.35330000,-1.46305700
-28.31597673,170.24750000,-1.56987200
-28.26597673,167.34820000,-1.69011500
-28.21597674,164.41850000,-1.79311500
